age,height,weight,activity_level,diet_quality,smoking_status,alcohol_consumption,sleep_hours,stress_level,health_tips
19,189,56,High,Poor,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
56,195,80,Low,Poor,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
57,184,61,High,Good,Yes,No,9,Low,Consider quitting smoking to improve your overall health.
41,163,99,Low,Poor,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
64,180,73,Moderate,Average,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night.
42,153,70,High,Good,No,No,9,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
35,183,57,Low,Poor,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
55,185,50,High,Good,No,Yes,6,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
43,169,96,Moderate,Good,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
31,154,64,Moderate,Good,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
26,161,60,Moderate,Average,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
27,187,56,High,Poor,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
38,164,69,Low,Poor,Yes,Yes,9,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
69,197,53,Moderate,Good,No,Yes,9,Medium,Limit alcohol consumption to maintain liver health.
34,162,78,High,Good,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
69,188,81,Low,Poor,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
23,192,53,High,Poor,Yes,Yes,8,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
33,199,87,Moderate,Poor,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
65,178,87,High,Average,No,No,6,High,Ensure you get at least 7-8 hours of sleep each night.
18,170,57,High,Good,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
36,182,58,Low,Average,Yes,No,8,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
53,193,99,Low,Average,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
42,156,94,Moderate,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
67,164,98,Low,Poor,No,Yes,9,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
69,198,54,High,Poor,Yes,No,8,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
47,187,55,Moderate,Poor,Yes,No,7,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
37,195,61,High,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
37,152,69,Moderate,Good,Yes,No,9,High,Consider quitting smoking to improve your overall health.
32,159,82,Moderate,Poor,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
57,177,66,Low,Poor,No,No,8,Medium,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
50,197,91,Moderate,Good,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night.
19,179,98,Low,Average,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
27,184,95,Moderate,Poor,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
75,155,56,High,Good,No,No,9,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
50,174,72,Low,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
49,192,84,Moderate,Good,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
28,195,51,Moderate,Poor,No,No,7,Medium,Improve your diet by including more fruits and vegetables.
70,160,80,High,Good,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
41,195,97,Moderate,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
53,162,83,Moderate,Poor,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
29,154,51,High,Good,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
68,183,83,High,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
73,186,92,Low,Average,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
46,186,51,Moderate,Average,No,No,5,High,Ensure you get at least 7-8 hours of sleep each night.
52,179,96,Low,Poor,No,No,4,High,Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
18,188,68,High,Good,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
18,160,63,Low,Poor,Yes,Yes,5,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
54,192,73,High,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
71,185,66,High,Average,Yes,No,6,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
23,184,57,High,Average,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
56,162,84,Moderate,Good,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night.
58,171,92,High,Average,No,No,8,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
70,156,92,High,Average,No,No,9,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
35,181,84,Moderate,Average,Yes,Yes,6,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
33,162,84,High,Good,Yes,Yes,7,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
22,192,54,High,Poor,No,Yes,7,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
59,152,78,High,Average,No,Yes,9,Low,Limit alcohol consumption to maintain liver health.
60,173,93,Moderate,Average,Yes,Yes,5,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
76,174,90,Low,Good,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
49,160,97,Moderate,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
74,199,66,Low,Average,No,No,7,High,Increase your physical activity to at least 30 minutes a day.
19,161,70,Moderate,Poor,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
19,190,59,Low,Good,Yes,No,7,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
57,154,87,Moderate,Good,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
59,184,85,High,Average,No,No,4,Low,Ensure you get at least 7-8 hours of sleep each night.
75,167,80,Low,Average,No,Yes,7,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
53,154,87,High,Poor,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
56,176,87,Moderate,Poor,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
73,190,67,High,Poor,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
29,157,97,Low,Good,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
64,152,88,Low,Good,No,Yes,9,High,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
36,184,98,Low,Good,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
45,183,85,High,Poor,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
18,193,99,High,Poor,No,No,9,Low,Improve your diet by including more fruits and vegetables.
32,170,64,Low,Average,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
53,179,90,Low,Average,Yes,No,5,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
71,194,55,Moderate,Average,No,Yes,9,Medium,Limit alcohol consumption to maintain liver health.
30,152,88,Moderate,Average,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
75,164,78,High,Poor,No,Yes,9,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
60,199,76,Moderate,Average,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
38,160,51,High,Average,Yes,No,8,High,Consider quitting smoking to improve your overall health.
29,162,88,Low,Good,No,No,8,Low,Increase your physical activity to at least 30 minutes a day.
22,176,75,Low,Average,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
24,196,70,Moderate,Poor,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
22,189,60,High,Average,No,No,8,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
65,198,55,Moderate,Good,No,No,8,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
70,164,88,Moderate,Good,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
21,180,51,Moderate,Poor,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
30,153,98,High,Average,No,No,7,Medium,Your health parameters look good. Keep maintaining a healthy lifestyle.
54,164,92,High,Poor,No,Yes,7,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
70,192,95,Moderate,Good,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
58,199,54,Moderate,Average,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
32,171,84,High,Good,No,Yes,6,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
33,186,85,High,Average,Yes,Yes,5,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
38,155,98,Moderate,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
53,190,65,Low,Average,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
76,199,91,Low,Poor,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
41,194,90,Moderate,Good,No,Yes,9,High,Limit alcohol consumption to maintain liver health.
33,166,98,High,Good,No,Yes,9,Low,Limit alcohol consumption to maintain liver health.
31,157,53,Low,Poor,Yes,No,9,Medium,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
71,170,62,Moderate,Poor,No,No,4,Low,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
39,169,56,Moderate,Good,No,Yes,7,High,Limit alcohol consumption to maintain liver health.
66,152,69,High,Average,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
67,182,52,Low,Poor,No,Yes,8,Low,Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
23,185,50,Moderate,Average,Yes,Yes,8,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
59,168,59,Moderate,Average,Yes,Yes,4,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
53,197,67,High,Poor,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
18,167,71,Low,Good,Yes,No,8,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
49,152,57,Moderate,Poor,Yes,No,9,Low,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
23,159,99,Moderate,Average,No,Yes,5,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
48,192,61,High,Average,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
18,156,70,Moderate,Poor,No,Yes,7,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
67,171,61,High,Average,No,Yes,4,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
68,199,65,Low,Average,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
54,195,73,Moderate,Poor,No,No,5,High,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
52,157,65,Moderate,Good,No,Yes,8,High,Limit alcohol consumption to maintain liver health.
66,171,69,Low,Poor,No,No,9,Low,Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
47,159,88,High,Good,No,No,9,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
21,197,69,High,Poor,Yes,No,8,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
52,175,83,Moderate,Good,Yes,No,8,Medium,Consider quitting smoking to improve your overall health.
60,168,97,Low,Average,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
31,157,70,Moderate,Good,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
66,164,71,Low,Good,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
57,154,65,Moderate,Average,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
39,199,95,Moderate,Good,No,No,5,High,Ensure you get at least 7-8 hours of sleep each night.
27,178,92,High,Good,Yes,No,6,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
18,169,57,Low,Good,No,No,7,High,Increase your physical activity to at least 30 minutes a day.
28,159,84,Low,Poor,Yes,Yes,9,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
68,177,63,Low,Average,Yes,Yes,9,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
61,170,97,High,Poor,Yes,No,8,High,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
76,152,97,Moderate,Good,Yes,Yes,8,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
41,163,73,High,Good,Yes,No,8,Low,Consider quitting smoking to improve your overall health.
77,182,88,High,Poor,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
20,165,77,Low,Good,No,No,7,Low,Increase your physical activity to at least 30 minutes a day.
75,155,85,Moderate,Average,No,No,5,Low,Ensure you get at least 7-8 hours of sleep each night.
52,162,99,High,Average,Yes,No,7,Low,Consider quitting smoking to improve your overall health.
53,192,56,Moderate,Good,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
48,187,74,Moderate,Poor,Yes,No,4,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
77,155,65,High,Average,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
21,198,54,High,Poor,No,Yes,4,Low,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
36,180,56,High,Good,No,Yes,8,High,Limit alcohol consumption to maintain liver health.
64,157,57,Moderate,Poor,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
53,170,51,Moderate,Poor,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
38,169,71,Moderate,Poor,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
35,184,54,Low,Good,Yes,No,4,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
68,176,86,Moderate,Average,Yes,No,7,Medium,Consider quitting smoking to improve your overall health.
45,189,62,Low,Average,No,Yes,4,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
32,161,93,High,Average,No,Yes,5,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
59,168,97,High,Poor,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
76,167,80,Moderate,Average,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
19,150,61,High,Average,No,No,4,High,Ensure you get at least 7-8 hours of sleep each night.
54,196,72,Moderate,Good,No,No,5,High,Ensure you get at least 7-8 hours of sleep each night.
28,154,53,Moderate,Average,Yes,Yes,5,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
40,166,79,Low,Good,Yes,No,9,High,Consider quitting smoking to improve your overall health. | Increase your physical activity to at least 30 minutes a day.
61,192,94,Moderate,Good,No,Yes,6,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
58,175,53,Moderate,Good,No,No,6,Low,Ensure you get at least 7-8 hours of sleep each night.
29,183,99,Low,Good,Yes,Yes,7,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
20,178,72,Moderate,Average,No,Yes,4,High,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
69,196,52,High,Average,No,No,7,Low,Your health parameters look good. Keep maintaining a healthy lifestyle.
34,184,87,Low,Poor,No,Yes,6,Medium,Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
50,167,68,High,Good,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
72,157,71,Low,Good,No,No,9,High,Increase your physical activity to at least 30 minutes a day.
18,193,53,Moderate,Average,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
56,150,89,Moderate,Average,Yes,No,6,Low,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
37,199,54,Moderate,Poor,No,Yes,9,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
64,158,62,Moderate,Good,Yes,Yes,4,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
60,170,99,High,Average,Yes,No,9,Low,Consider quitting smoking to improve your overall health.
69,151,82,High,Poor,Yes,Yes,6,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
74,187,68,Low,Poor,Yes,No,5,High,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day. | Improve your diet by including more fruits and vegetables.
78,177,85,Moderate,Poor,No,No,7,Medium,Improve your diet by including more fruits and vegetables.
58,193,56,Moderate,Average,Yes,No,9,Low,Consider quitting smoking to improve your overall health.
31,165,78,Moderate,Good,No,No,7,High,Your health parameters look good. Keep maintaining a healthy lifestyle.
48,159,73,Low,Good,Yes,Yes,7,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Increase your physical activity to at least 30 minutes a day.
42,174,74,Moderate,Poor,Yes,Yes,4,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
79,158,77,Moderate,Poor,No,No,7,High,Improve your diet by including more fruits and vegetables.
20,194,68,Moderate,Poor,No,Yes,9,High,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
21,175,66,High,Average,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night.
48,185,86,Moderate,Poor,No,No,5,Medium,Ensure you get at least 7-8 hours of sleep each night. | Improve your diet by including more fruits and vegetables.
52,196,98,Moderate,Poor,No,Yes,8,Medium,Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
61,177,91,High,Poor,Yes,Yes,8,High,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Improve your diet by including more fruits and vegetables.
31,184,98,Low,Good,Yes,Yes,6,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health. | Ensure you get at least 7-8 hours of sleep each night. | Increase your physical activity to at least 30 minutes a day.
66,195,51,Moderate,Good,Yes,Yes,7,Medium,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
58,151,64,High,Poor,Yes,No,8,Medium,Consider quitting smoking to improve your overall health. | Improve your diet by including more fruits and vegetables.
26,158,77,High,Average,Yes,Yes,9,Low,Consider quitting smoking to improve your overall health. | Limit alcohol consumption to maintain liver health.
37,165,63,High,Average,Yes,No,5,Medium,Consider quitting smoking to improve your overall health. | Ensure you get at least 7-8 hours of sleep each night.
